FECHA,HORA,ESTACION,CO,NO,NO2,NOX,O3,PM10,PM25,PMCO,SO2,RH,TMP,WDR,WSP
2023-01-01,5,XAL,0.48,7.0,29.0,42.0,24.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,6,ACO,0.75,12.0,13.0,25.0,2.0,120.0,23.0,16.0,1.0,96.0,5.5,331.0,1.3
2023-01-01,6,AJM,0.35,1.0,11.0,12.0,23.0,29.0,19.0,9.0,1.0,75.0,5.0,209.0,2.6
2023-01-01,6,AJU,0.355,3.0,19.0,24.0,8.0,45.0,23.0,16.0,1.0,100.0,0.8,27.0,1.7
2023-01-01,6,ATI,0.59,5.0,18.0,23.0,4.0,25.0,23.0,16.0,0.0,51.0,17.4,163.0,1.8
2023-01-01,6,BJU,1.02,3.0,22.0,24.0,1.0,73.0,68.0,5.0,1.0,66.0,10.5,225.0,0.7
2023-01-01,6,CAM,1.57,65.0,22.0,86.0,2.0,102.0,89.0,13.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,6,CCA,0.57,9.0,16.0,25.0,2.0,45.0,55.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,6,CHO,0.72,12.0,14.0,26.0,4.0,110.0,23.0,16.0,1.0,75.0,6.5,143.0,0.8
2023-01-01,6,COY,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,6,CUA,0.35,1.0,10.0,11.0,21.0,23.0,23.0,16.0,1.0,67.0,9.5,239.0,2.1
2023-01-01,6,CUT,0.78,5.0,16.0,22.0,3.0,75.0,23.0,16.0,1.0,77.0,5.4,251.0,1.0
2023-01-01,6,FAC,0.85,14.0,21.0,36.0,1.0,56.0,23.0,16.0,1.0,86.0,4.8,235.0,1.3
2023-01-01,6,FAR,1.52,3.0,21.0,24.0,2.0,45.0,154.0,16.0,2.0,78.0,10.4,39.0,1.3
2023-01-01,6,GAM,0.355,3.0,23.0,24.0,2.0,214.0,166.0,48.0,1.0,78.0,10.6,48.0,0.0
2023-01-01,6,HGM,0.93,26.0,26.0,52.0,3.0,52.5,23.0,29.0,1.0,63.0,11.0,30.0,0.5
2023-01-01,6,INN,0.1,3.0,19.0,24.0,15.0,3.0,2.0,2.0,0.0,89.0,2.2,115.0,0.6
2023-01-01,6,IZT,1.17,29.0,26.0,56.0,2.0,126.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,6,LAA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,81.0,9.7,280.0,0.4
2023-01-01,6,LLA,0.355,3.0,19.0,24.0,5.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,6,LPR,1.82,3.0,19.0,24.0,4.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,6,MER,1.51,71.0,27.0,98.0,2.0,107.0,94.0,13.0,2.0,77.0,10.4,110.0,0.7
2023-01-01,6,MGH,1.5,56.0,26.0,82.0,2.0,45.0,23.0,16.0,2.0,35.5,19.9,205.0,1.9
